國家/地區,點擊,曝光,點閱率,排名
台灣,4748,232249,2.04%,5.62
香港,109,12217,0.89%,7.52
美國,39,7968,0.49%,7.42
馬來西亞,24,2737,0.88%,5.64
澳門特別行政區,20,948,2.11%,4.26
新加坡,13,1195,1.09%,6.03
加拿大,13,781,1.66%,6.63
日本,12,939,1.28%,7.01
澳洲,11,770,1.43%,6.02
中國,10,2300,0.43%,6.19
英國,9,532,1.69%,5.85
柬埔寨,7,273,2.56%,5.24
德國,7,194,3.61%,6.97
越南,6,895,0.67%,8.11
南韓,4,559,0.72%,6.73
法國,4,132,3.03%,8.27
泰國,2,265,0.75%,6.71
印尼,1,282,0.35%,6.43
菲律賓,1,230,0.43%,6.77
義大利,1,143,0.7%,10.37
西班牙,1,96,1.04%,5.75
愛爾蘭,1,37,2.7%,6.43
捷克,1,16,6.25%,8
哥斯大黎加,1,14,7.14%,8.57
瓜地馬拉,1,10,10%,6.7
印度,0,418,0%,7.91
巴西,0,317,0%,10.02
墨西哥,0,199,0%,6.44
塞席爾,0,173,0%,5.71
孟加拉,0,117,0%,6.91
阿根廷,0,117,0%,9.96
荷蘭,0,106,0%,6.45
土耳其,0,86,0%,8.14
緬甸,0,83,0%,5.35
巴基斯坦,0,83,0%,8.25
紐西蘭,0,76,0%,6.14
伊拉克,0,74,0%,8.53
俄羅斯,0,62,0%,7.37
沙烏地阿拉伯,0,51,0%,6.82
埃及,0,47,0%,7.06
哥倫比亞,0,47,0%,7.53
南非,0,44,0%,7.57
阿拉伯聯合大公國,0,43,0%,7.86
波蘭,0,41,0%,8.41
未知區域,0,40,0%,5.03
瑞士,0,35,0%,7.51
比利時,0,33,0%,9.94
烏克蘭,0,31,0%,10
厄瓜多,0,30,0%,10.83
寮國,0,27,0%,5.93
智利,0,26,0%,10.08
以色列,0,25,0%,10.12
尼泊爾,0,24,0%,5.58
葡萄牙,0,24,0%,7.25
烏茲別克,0,24,0%,7.71
委內瑞拉,0,24,0%,9.25
巴拿馬,0,22,0%,5.68
阿爾及利亞,0,22,0%,5.77
秘魯,0,22,0%,6.09
約旦,0,20,0%,7.6
摩洛哥,0,20,0%,8.95
汶萊,0,19,0%,4.26
哈薩克,0,19,0%,6.84
瑞典,0,18,0%,6.94
塞爾維亞,0,17,0%,5.47
蒙古,0,16,0%,5.81
卡達,0,16,0%,7.56
奧地利,0,15,0%,9.07
肯亞,0,15,0%,18.07
匈牙利,0,13,0%,5.85
伊朗,0,13,0%,8.69
斯里蘭卡,0,12,0%,6
阿曼,0,12,0%,7.17
衣索比亞,0,12,0%,7.33
奈及利亞,0,12,0%,9
芬蘭,0,12,0%,10
希臘,0,11,0%,6.55
丹麥,0,11,0%,8.27
突尼西亞,0,11,0%,13.91
安哥拉,0,10,0%,6.4
蒙特內哥羅,0,10,0%,6.7
亞賽拜然,0,10,0%,8.6
牙買加,0,10,0%,10
挪威,0,10,0%,10.7
巴勒斯坦,0,10,0%,13.8
立陶宛,0,10,0%,16
喬治亞,0,9,0%,5.22
白俄羅斯,0,9,0%,5.44
阿爾巴尼亞,0,9,0%,7.33
玻利維亞,0,9,0%,8.44
巴林,0,8,0%,5
多明尼加共和國,0,8,0%,5.5
冰島,0,8,0%,5.5
黎巴嫩,0,8,0%,8.38
馬爾地夫,0,7,0%,4.29
亞美尼亞,0,7,0%,5.43
克羅埃西亞,0,7,0%,7.29
摩爾多瓦,0,7,0%,7.86
不丹,0,7,0%,8
敘利亞,0,7,0%,9
波士尼亞與赫塞哥維納,0,6,0%,4.17
羅馬尼亞,0,6,0%,8.5
巴拉圭,0,6,0%,10.17
薩爾瓦多共和國,0,5,0%,5
斯洛維尼亞,0,5,0%,5.2
利比亞,0,5,0%,6.8
迦納,0,5,0%,7
保加利亞,0,5,0%,7.4
茅利塔尼亞,0,5,0%,8.2
尼加拉瓜,0,5,0%,8.6
烏拉圭,0,5,0%,8.8
宏都拉斯,0,5,0%,9.8
拉脫維亞,0,5,0%,16.2
盧森堡,0,4,0%,5.5
坦尚尼亞,0,4,0%,7.5
斯洛伐克,0,4,0%,8.25
馬其頓,0,4,0%,10.75
象牙海岸,0,3,0%,3
科威特,0,3,0%,3.33
馬達加斯加,0,3,0%,4.67
貝里斯,0,3,0%,5
吉爾吉斯,0,3,0%,7.33
烏干達,0,3,0%,8
南蘇丹,0,3,0%,8.33
波多黎克,0,3,0%,10.67
巴布亞紐幾內亞,0,2,0%,3
馬利,0,2,0%,6.5
納米比亞,0,2,0%,7
巴哈馬,0,2,0%,7.5
古巴,0,2,0%,7.5
美屬薩摩亞,0,2,0%,8
賽普勒斯,0,2,0%,8.5
庫拉索,0,2,0%,11
