日期,點擊,曝光,點閱率,排名
2025-11-12,114,6305,1.81%,5.4
2025-11-13,123,6776,1.82%,5.5
2025-11-14,104,6393,1.63%,5.3
2025-11-15,104,5805,1.79%,5.1
2025-11-16,140,7319,1.91%,5.4
2025-11-17,165,7047,2.34%,5.3
2025-11-18,131,6660,1.97%,5.7
2025-11-19,142,6878,2.06%,5.4
2025-11-20,141,7432,1.9%,5.3
2025-11-21,110,6861,1.6%,4.9
2025-11-22,101,6432,1.57%,5
2025-11-23,133,7678,1.73%,5.1
2025-11-24,141,7724,1.83%,5.8
2025-11-25,180,7901,2.28%,5.6
2025-11-26,164,7789,2.11%,5.5
2025-11-27,147,8310,1.77%,5.5
2025-11-28,139,7990,1.74%,5.3
2025-11-29,139,7997,1.74%,4.9
2025-11-30,172,8935,1.93%,5.3
2025-12-01,193,8971,2.15%,5.7
2025-12-02,178,8972,1.98%,5.6
2025-12-03,160,8866,1.8%,5.7
2025-12-04,179,9501,1.88%,5.8
2025-12-05,161,9171,1.76%,5.2
2025-12-06,150,8594,1.75%,5
2025-12-07,204,10455,1.95%,5
2026-05-04,148,7125,2.08%,8.3
2026-05-05,171,7096,2.41%,7.4
2026-05-06,148,7355,2.01%,7.7
2026-05-07,145,8105,1.79%,7.1
2026-05-08,131,8436,1.55%,7.1
2026-05-09,171,9516,1.8%,7.2
2026-05-10,141,9780,1.44%,6.6
2026-05-11,176,8836,1.99%,6.6
