日期,點擊,曝光,點閱率,排名
2025-11-12,0,0,,
2025-11-13,0,0,,
2025-11-14,0,0,,
2025-11-15,0,0,,
2025-11-16,0,0,,
2025-11-17,0,0,,
2025-11-18,0,0,,
2025-11-19,0,0,,
2025-11-20,0,0,,
2025-11-21,0,0,,
2025-11-22,0,0,,
2025-11-23,0,0,,
2025-11-24,0,0,,
2025-11-25,0,0,,
2025-11-26,0,0,,
2025-11-27,0,0,,
2025-11-28,0,0,,
2025-11-29,0,0,,
2025-11-30,0,0,,
2025-12-01,0,0,,
2025-12-02,0,0,,
2025-12-03,0,0,,
2025-12-04,0,0,,
2025-12-05,0,0,,
2025-12-06,0,0,,
2025-12-07,0,0,,
2026-05-04,0,0,,
2026-05-05,0,4,0%,42.8
2026-05-06,0,2,0%,4.5
2026-05-07,0,2,0%,17.5
2026-05-08,0,0,,
2026-05-09,0,1,0%,46
2026-05-10,0,11,0%,4.5
2026-05-11,0,1,0%,2
